Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
AUSTRALIA,2014,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,N,other,6
BRAZIL,2014,other,500 km off the coast of Pernambuco,Fishing,M,43,Severe injury to arm,N,other,6
USA,2014,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N," Sandbar shark, 3' to 4'",6
AUSTRALIA,2014,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,N,"Bronze whaler shark, 1.5m",6
JAPAN,2014,Atsumi peninsula,Aichi,Surfing,M,43,Left arm bitten,N,other,6
USA,2014,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,other,6
USA,2014,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,N,Bull shark,6
AUSTRALIA,2014,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,0,Lacerations & puncture wounds to ankle and foot,N,other,6
USA,2014,Palmyra Atoll,other,Tagging sharks,F,37,Laceration to left hand,N,Blacktip Reef shark ,6
AUSTRALIA,2014,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,N," Bull shark, 1.2m ",5
FRANCE,2014,Wallis and Futuna,Wallis Island,Scuba diving,M,0,Lacerations to left thigh and hip,N,3m shark,5
USA,2014,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,N,other,5
AUSTRALIA,2014,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,"No injury, but surfboard severely damaged",N," white shark, 15' ",5
USA,2014,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,N,other,5
USA,2014,Georgia,"Tybee Island, Chatham County",Surfing,M,12,Puncture wounds to right thigh,N,Shark involvement not confirmed,5
USA,2014,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,N,4' to 5' shark,5
SOUTH AFRICA,2014,Western Cape Province,Simonstown,Diving,UNKNOWN,0,4-inch laceration to arm,N,Cow shark,5
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,N,3' shark,5
AUSTRALIA,2014,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,0,Minor injury,N,reef shark?,4
USA,2014,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,Laceration & puncture wounds to right foot,N,other,4
USA,2014,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,N,other,4
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Minor puncture wounds to lower left leg,N,other,4
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Lacerations to foot,N,other,4
AUSTRALIA,2014,New South Wales,Tathra,Swimming,F,63,FATAL,Y,3 m to 4 m white shark,4
SOUTH AFRICA,2014,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,FATAL,Y,2 m shark,3
USA,2014,Florida,Delray Beach,Kite Surfing,M,0,Lacerations to left forearm,N,4' to 5' shark,3
USA,2014,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,N,other,3
NEW CALEDONIA,2014,Baie de Sainte-Marie,other,Kite Surfing,M,42,Lacerations to calf,N,other,3
AUSTRALIA,2014,Victoria,Winkipop Beach,Surfing,M,42,Shark leapt onto surfboard; surfer uninjured ,N,other,3
AUSTRALIA,2014,New South Wales,Lighthouse Beach,Swimming,M,0,Minor lacerations to foot,N,Wobbegong shark,3
USA,2014,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,Lacerations to toes,N,Blacktip or spinner shark?,3
FRENCH POLYNESIA,2014,Society Islands,Huahine,Kitesurfing,M,21,Lacerations to lower leg,N,Blacktip reef shark ,2
AUSTRALIA,2014,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,FATAL,Y,other,2
NEW ZEALAND,2014,South Island,Porpoise Bay,Surfing,M,28,Lacerations to leg,N,7-gill shark?,2
NEW ZEALAND,2014,South Island,Garden Bay near Cosy Nook,Spearfishing,M,24,Minor injury to left lower leg & heel,N,7-gill shark,1
USA,2014,Hawaii,other,Free diving / Photographing pilot whales,M,0,"""Minor laceration to shoulder""",N,Oceanic whitetip shark,0
NEW CALEDONIA,2013,North Province,"Lindéralique, Hienghène",Snorkeling,M,37,Leg bitten,N,Reported to involve a bull shark,12
SOUTH AFRICA,2013,Western Cape Province,Die Platt,Surfing,M,19,Injuries to left thigh,N,"White shark, 3m ",12
KIRIBATI,2013,740 miles SE of Tarawa Atoll,other,Attempting to remove fishing net from submerged object,M,35,Severe injury to arm,N,other,12
USA,2013,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,Lacerations to right hand & knee,N,"Tiger shark, 10' to 12'",12
USA,2013,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,Right foot bitten,N,4' to 6' shark,12
AUSTRALIA,2013,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,"Puncture wounds to hand, laceration to leg",N," Wobbegong shark, 1.6 to 1.8m ",12
USA,2013,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,FATAL,Y,other,12
AUSTRALIA,2013,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,M,19,FATAL,Y,"Tiger shark, 3m ",11
USA,2013,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,Right calf bitten,N,other,11
AUSTRALIA,2013,Western Australia,Gracetown,Surfing,M,35,FATAL,Y,Thought to involve a white shark,11
USA,2013,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25,"No injury, board bitten",N,"White shark, 10 '",11
AUSTRALIA,2013,Western Australia,"Trigg Beach, Perth",Surfing,M,0,"No injury, board bumped by shark",N,Reported to involve a white shark,11
USA,2013,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,"No injury, swim fin bitten",N,other,11
USA,2013,Florida,"Floridana Beach, Brevard County",Surfing,M,0,Foot bitten,N,other,11
USA,2013,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,46,Severe bite to right calf & anklel,N,Tiger shark,10
AUSTRALIA,2013,Western Australia,Turquoise Bay,Snorkeling,F,60,Lacerations to right arm,N,"Blacktip reef shark, 1m",10
REUNION,2013,d’Étang-Salé,Ravine Mula,Body boarding,M,24,Right leg severed,N,Thought to involve a bull shark,10
AUSTRALIA,2013,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,0,"No injury, swim fin shredded",N,Reported to involve a 4 m white shark,10
AUSTRALIA,2013,New South Wales,South Narrabeen Beach,Surfing,M,41,Injuries to right foot,N,Wobbegong shark,10
USA,2013,Hawaii,"Waiehu, Maui",Diving ,M,45,"3"" laceration to left hip",N,"Whitetip reef shark, 4' to 6'",10
USA,2013,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,"No injury, shark bit surfboard",N,Tiger shark,10
USA,2013,Florida,Miami Beach,Wading,M,6,Bitten on left calf & foot,N,Nurse shark?,10
SOUTH AFRICA,2013,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,74,FATAL,Y,White shark,10
AUSTRALIA,2013,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,"Injuries to torso, head and face",N,White shark,10
USA,2013,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,Laceration to thigh,N,"White shark, 8' to 10'",10
USA,2013,Florida,"Destin, Okaloosa County",Wading,M,12,Lacerations to  right forearm,N,Small bull shark,10
USA,2013,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,Lacerations to hand,N,other,9
ISRAEL,2013,Southern District,Ashdod,Diving,M,27,Hand bitten ,N,other,9
USA,2013,Florida,"Panama City, Bay County",Standing,M,7,Laceration and puncture wounds to ankle,N,other,9
USA,2013,Florida,"Ormond Beach, Volusia County",Swimming,M,45,Lacerations to right foot,N,other,9
USA,2013,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,0,Lacerations to left foream,N,other,9
USA,2013,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,21,Lacerations to right foot,N,Bull shark,9
USA,2013,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,Heel bitten,N,3' shark,9
USA,2013,South Carolina,"St. Helena Island, Beaufort County",other,F,0,No details,UNKNOWN,other,9
USA,2013,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,"Minor injury, shin bitten",N,3' shark,9
USA,2013,Florida,"Ormond Beach, Volusia County",Swimming,M,17,Shoulder bitten,N,other,9
BAHAMAS,2013,other,other,other,M,0,Leg injured,N,other,9
USA,2013,Florida,"St Augustine Beach, St Johns County",Casting a net,M,9,Lacerations to left calf,N,4' shark,9
BAHAMAS,2013,other,Freetown Beach,Spearfishing,M,0,Lower left leg bitten,N,Blacktip shark,8
USA,2013,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,0,Foot bitten,N,Salmon shark,8
USA,2013,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,11,Minor injury to left lower leg & heel,N,other,8
AUSTRALIA,2013,New South Wales,Smiths,Wrangling a shark,M,0,Lacerations to left forearm,N,other,8
USA,2013,Hawaii,Pohoiki ,Surfing,M,16,Lacerations to buttocks & thigh,N,other,8
USA,2013,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,0,"No injury, shark bumped surfboard",N,White shark,8
USA,2013,Hawaii,"Makenat, Maui",Snorkeling,F,20,FATAL,Y,Tiger shark?,8
USA,2013,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,19,No injury & not on board. Board adrift when bitten by shark,N,other,8
USA,2013,South Carolina,Folly Beach,Surfing,M,10,"No injury, shark became entangled in his surfboard leash",N,"Bull shark, 8'",8
SOUTH AFRICA,2013,other,other,Attempting to free the shark,M,0,"Unknown, but survived",N,Blacktip shark,8
USA,2013,Florida,"Sanibel Island, Lee County",Fishing,M,17,Minor injury to foot & shin,N,"Bull shark, 6' to 8'",8
USA,2013,Hawaii,"Ulua Beach, Maui",Snorkeling,F,56,"Lacerations to hand, face and torso",N,other,7
USA,2013,South Carolina,"Isle of Palms, Charleston County",Swimming,M,32,Foot bitten,N,other,7
BAHAMAS,2013,Abaco Islands,Scotland Cay,Spearfishing,M,40,Leg bitten,N,6' shark,7
MEXICO,2013,Quintana Roo,other,Wading,F,0,Hip bitten,N,other,7
USA,2013,Hawaii,"White Plains Beach, Oahu",Surfing,M,18,Lower leg bitten,N,"Tiger shark, 8' to 10' ",7
BAHAMAS,2013,Exuma Islands,Compass Cay,Cleaning fish,M,64,Bitten on left hand,N,Nurse shark,7
BAHAMAS,2013,Abaco Islands,Grand Cay,Diving,M,50,Bitten on rear lower extremities,N,other,7
BRAZIL,2013,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,18,FATAL,Y,other,7
USA,2013,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,Lacerations and abrasions to foot and ankle,N,other,7
USA,2013,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,teen,4 cuts to posterior calf,N,other,7
REUNION,2013,Saint-Paul,Le cimetière marin,Swimming & snorkeling,F,15,FATAL,Y,other,7
DIEGO GARCIA,2013,other,other,Swimming,M,33,FATAL,Y,other,7
USA,2013,North Carolina,Holden Beach. Brunswick County,Wading,F,63,Right foot bitten,N,other,7
AUSTRALIA,2013,Victoria,"Flinders, Mornington Penisula",Body surfing,M,29,"No injury, holes in wetsuit ",N,other,7
TAIWAN,2013,Taitung ,other,Fishing,M,0,Right thigh bitten,N,other,6
USA,2013,Florida,"Jacksonville, Duval County",Swimming,M,0,Lacerations to left foot,N,"Possibly a Bull shark, 3'",6
USA,2013,South Carolina,"Kiawah Island, Charleston County",Swimming,M,14,"Bitten on lower right leg, reported as a minor injury",N,4' to 5' shark,6
USA,2013,Hawaii,Kona Coast State Park,Swimming,M,28,Right thigh & calf bitten,N,"Tiger shark, 14'",6
USA,2013,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,Left leg & hand bitten,N,other,6
SOUTH AFRICA,2013,Eastern Cape Province,Queensberry Bay,Surfing,M,0,Lacerations to knee,N,other,6
USA,2013,Florida,"Atlantic Beach, Duval County",Surfing,F,0,Lacerations to left ankle,N,other,6
USA,2013,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,Puncture marks to hand,N,4' to 5' shark,6
AUSTRALIA,2013,New South Wales,Target Beach,Surfing,M,0,"No injury, board damaged",N,6' shark,6
USA,2013,Hawaii,"Halewia, Oahu",Diving,M,32,Lacerations to right hand,N,Galapagos shark,5
USA,2013,Florida,"Ormond Beach, Volusia County",Swimming,M,11,Right foot bitten,N,other,5
BRAZIL,2013,Pernambuco,Coral Cove Beach,other,M,41,FATAL,Y,other,5
ECUADOR,2013,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,29,Superficial injury to left calf,N,Galapagos shark,5
REUNION,2013,Saint-Gilles,Brisant Beach,Body boarding,M,36,FATAL,Y,Bull shark,5
USA,2013,Florida,"Melbourne Beach, Brevard County",Surfing,M,16,Lacerations to left foot and ankle,N,a small shark,5
MEXICO,2013,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,34,Avulsion injury  to lower right leg,N,Tiger shark,4
AUSTRALIA,2013,New South Wales,Crowdy Head,Fishing,M,51,Puncture wounds and lacerations to both legs,N,"Grey nurse shark, 3m",4
USA,2013,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,9,Lacerations to right foot,N,3' shark,4
SOUTH AFRICA,2013,Western Cape Province,False Bay,Free diving,M,0,"""Light scratch on hand/wrist area""",N,Blue shark,4
USA,2013,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to right hand,N,Bull shark,4
GUAM,2013,other,other,other,M,40,FATAL,Y,other,4
FRENCH POLYNESIA,2013,Tuamotus,"North Pass, Fakarava",Kite boarding,M,53,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,Possibly a blacktip reef shark,4
USA,2013,Florida,"Jensen Beach, Martin County ",Swimming,M,50,Lacerations to hand,N,other,4
USA,2013,Hawaii,Ka’anapali Shores,Surfing,M,58,Right thigh bitten,N,4' shark,4
SEYCHELLES,2013,other,Ile Platte,Free diving,M,34,Lacerations to left foot,N,other,3
BELIZE,2013,other,other,Snorkeling,F,0,Toe injured,N,Nurse shark,3
BAHAMAS,2013,Eleuthera,Savannah Sound,Fly fishing,M,50,Left foot bitten,N,other,3
SOUTH AFRICA,2013,Western Cape Province,Hawston Beach,Surfing,M,0,"No injury, surfboard bitten",N,other,3
JAMAICA,2013,St. Catherine,Pillikin Red Light area ,Spearfishing,M,68,FATAL,Y,"Tiger shark, 4.8 m",3
AUSTRALIA,2013,Western Australia,African Reef off Geraldton,Spearfishing,M,28,Laceration to left hand,N,"Bronze whaler shark, 2.5m",3
PHILIPPINES,2013,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,M,28 & 26,Minor leg injuries,N,"""small sharks""",3
SOUTH AFRICA,2013,Eastern Cape Province,Port St. John's,Swimming,M,39,Injuries to arms & hands,N,other,3
NEW ZEALAND,2013,North Island,Muriwai,Swimming,M,46,FATAL,Y,"White shark, 4m",2
USA,2013,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,UNKNOWN,0,Lacerations to right leg,N,reef shark?,2
USA,2013,Hawaii,"Paia Bay, Maui",Surfing,M,0,"No injury, shark bit rail of foam board",N,reef shark?,2
USA,2013,Florida,"""Stuart Rocks"", Martin County",Surfing,M,16,Lacerations to right hand,N,"Blacktip shark, 4' to 5'",2
FRENCH POLYNESIA,2013,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,M,48,Lacerations to right arm & thigh,N,Lemon shark,2
JAMAICA,2013,Kingston Parish,Pedro Cays,other,M,18,Knee bitten,N,other,2
AUSTRALIA,2013,Queensland,Noosa,Surfing,M,0,Lacerations to neck,N,other,1
USA,2013,Hawaii,Kiholo Bay,Surfing,M,43,Left forearm bitten ,N,"Tiger shark, 15'",1
NEW ZEALAND,2013,Mercury Islands,Great Mercury Island,Spearfishing,M,0,Minor cut on finger,N,"Bronze whaler shark, 3m",1
AUSTRALIA,2013,Western Australia,Near Legendre Island,Spearfishing / Free diving,M,26,Calf & shin bitten ,N,other,1
USA,2012,Florida,"Jensen Beach, Martin County ",Swimming,M,0,Lower leg or ankle bitten,N,other,12
AUSTRALIA,2012,New South Wales,Between Dee Why and Long Reef,Surfing,M,23,"No injury, chunk missing from surfboard",N,2.5 m shark,12
AUSTRALIA,2012,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,M,29,Lacerations to thigh and hand,N,"Bull shark, 2m ",12
SOUTH AFRICA,2012,Eastern Cape Province,Port St. John's,Swimming,M,20,FATAL,Y,Tiger shark,12
AUSTRALIA,2012,Western Australia,Trigg Beach,Surfing,M,32,No injury,N,"Tiger shark, 6'",12
USA,2012,Hawaii,Kauai,Surfing,M,60,Lacerations to left foot,N,10' shark,12
AUSTRALIA,2012,New South Wales,Green Island,Spearfishing,M,31,Minor puncture wounds to knee,N,Sandtiger shark,12
NEW ZEALAND,2012,South Island,"Sunday Cove, Fiordland",Scuba diving,F,25,"No injury, shark grabbed hood",N,Seven-gill shark,12
USA,2012,Hawaii,"Kihei, Maui",Snorkeling,M,61,Lacerations to thigh & lower left leg,N,"Tiger shark, 10'",11
MEXICO,2012,Sinaloa,Nuevo Altata,Swimming,M,32,FATAL,Y,2.5 m shark,11
USA,2012,Florida,"Melbourne Beach, Brevard County",Surfing,M,14,Minor lacerations to left foot & heel,N,2' to 3' shark,11
USA,2012,Hawaii,"Makena Landing, Maui",Diving,M,30,Right lower leg and foot bitten,N,"Tiger shark, 15'",11
USA,2012,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,"No injury, surfboard bitten",N,"Tiger shark, 8'",11
USA,2012,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,25,Multiple lacerations to torso,N,White shark,10
USA,2012,Hawaii,"Makena Landing, Maui",Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",N,"Tiger shark, 10' to 12' ",10
USA,2012,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,39,FATAL,Y,"White shark, 15' to 16' ",10
USA,2012,Florida,"Seaport, Brevard County",other,F,35,Left calf bitten,N,other,10
USA,2012,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,Minor bite to ankle,N,other,10
USA,2012,Hawaii,"Kanaha Beach, Maui",Paddle boarding,M,55,"No injury, board bitten",N,6' to 8' shark,10
NIGERIA,2012,Delta,Oboro,Bathing,F,38,Laceration to right leg,N,other,10
USA,2012,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,42,"No ijnury to boardrider, shark struck board breaking the mast",N,other,10
AUSTRALIA,2012,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,M,11,"No injury, but swim fin bitten & torn",N,2m shark,10
USA,2012,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,Lacerations to left forearm,N,5' shark,9
USA,2012,Florida,"Spanish House Beach, Brevard County",Surfing,M,22,Left foot bitten,N,4' shark,9
USA,2012,Florida," Cocoa Beach, Brevard  County",Surfing,M,52,Foot bitten,N,other,9
TONGA,2012,Vava'u,Eueiki Island,Swimming,F,29,Injuries to thighs & buttocks,N,Possibly a 3 m bull shark,9
USA,2012,Florida,"New Smyrna Beach, Volusia County",Surfing,UNKNOWN,19,Minor injury to elbow,N,other,9
USA,2012,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,25,Right foot bitten,N,other,9
USA,2012,Florida,"South Beach, Miami-Dade County",Swimming,M,0,Lacerations to right calf,N,other,9
USA,2012,Florida,"Neptune Beach, Duval County",Surfing,M,30s,Right calf bitten,N,other,9
USA,2012,Florida,"St. Augustine Beach, St. John's County",Surfing,M,37,Lacerations to foot,N,other,9
USA,2012,Florida,"Melbourne Beach, Brevard County",Surfing,M,32,Puncture wounds to hand,N,other,9
USA,2012,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8,Puncture wounds to calf and hand,N,3.5' to 4' shark,9
USA,2012,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,56,Puncture wound to left ankle,N,3.5' to 4' shark,9
AUSTRALIA,2012,Western Australia,Red Bluff near Quobba Station,Surfing,M,34,Lacerations to torso and arm,N,other,8
BRAZIL,2012,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,18,FATAL,Y,other,8
USA,2012,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,31,Lacerations to leg,N,other,8
USA,2012,Florida,Key Largo,Free diving ,M,56,Lacerations to little finger of left hand,N,"Lemon shark, 4' to 5' ",8
REUNION,2012,Saint Leu,other,Surfing,M,39,Right hand and foot severed,N,Bull shark,8
FRENCH POLYNESIA,2012,Tuamotus,Kaukura Atoll,Spearfishing,M,0,Shoulder bitten,N,"Lemon shark, 2.5m to 3m ",8
USA,2012,California,"Topanga Beach, Los Angeles County",Surfing,M,17,"No injury, surfer knocked off board when shark struck surfboard",N,other,7
AUSTRALIA,2012,South Australia,Streaky Bay,Surfing,M,48,Lacerations to torso & arm,N,White shark or bronze whaler,7
USA,2012,Hawaii,"Maha‘ulepu Beach, Kauai",Surfing,M,44,Left foot bitten,N,other,7
USA,2012,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,50,Lacerations to both legs below the knees,N,Thought to involve a white shark,7
REUNION,2012,Trois-Bassins,other,Surfing,M,22,FATAL,Y,other,7
AUSTRALIA,2012,Western Australia,Off Wedge Island,Surfing,M,24,FATAL,Y,"White shark, 5m",7
USA,2012,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,43,Lacerations to right ankle and calf,N,other,7
BAHAMAS,2012,Eleuthera,other,Spearfishing,M,0,Lacerations to right leg,N,other,7
SOUTH AFRICA,2012,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,29,Lacerattions to left thigh & knee,N,15' shark,7
USA,2012,Florida,"Juno Beach, Palm Beach County",Swimming,M,6,Thigh bitten,N,possibly a bull shark,6
USA,2012,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Nip to left foot,N,other,6
USA,2012,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,Laceration to left calf,N,a small reef shark,6
AUSTRALIA,2012,Tasmania,South Cape Bay,Surfing,M,0,"Knocked off board, shark bit nose off surfboard",N,other,6
USA,2012,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,12,Minor injury,N,other,6
AUSTRALIA,2012,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,"No injury, ski severely damaged",N,3 m shark,6
USA,2012,North Carolina,"Ocean Isle, Brunswick County",Wading,F,6,Numerous puncture wounds to leg ,N,other,6
USA,2012,South Carolina,"Myrtle Beach, Horry County",Swimming,F,18,Foot & hand bitten,N,small blacktip shark?,6
USA,2012,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0,Minor injury,N,Shark involvement not confirmed,6
USA,2012,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0,Calf bitten,N,small blacktip shark?,6
USA,2012,South Carolina,"Myrtle Beach, Horry County",Swimming,M,16,Laceration to right foot,N,Blacktip shark ,6
AUSTRALIA,2012,Victoria,Port Campbell,Surfing,M,42,Laceration to right foot,N,1.5 m shark,6
AUSTRALIA,2012,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,"No injury, ski bitten",N,"White shark, 2 m",6
USA,2012,Florida,"Bethune Beach, Volusia County",Surfing,F,12,Laceration to thigh,N,other,6
USA,2012,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,25,Severe laceration to foot,N,other,6
USA,2012,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,33,Foot bitten,N,"18"" to 24"" shark",5
MEXICO,2012,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,M,46,Left hand severed,N,"Bull shark, 3m",5
USA,2012,Florida,"Jacksonville, Duval County",Surfing,M,22,Lacerations to foot,N,4' to 5' shark,5
FIJI,2012,other,Matacucu Reef ,Spearfishing,M,20,Lacerations to head,N,other,5
USA,2012,Florida,"Vero Beach, Indian River County",Swimming,F,47,Upper left thigh bitten,N,other,5
USA,2012,California,Off Catalina Island,Paddle boarding,F,15,"No injury, shark bit paddleboard",N,White shark,5
USA,2012,Florida,"Indialantic, Brevard County",Surfing,M,28,Lacerations to hand,N,5' shark,4
SOUTH AFRICA,2012,Western Cape Province,Caves near Kogel Bay,Body boarding,M,20,FATAL,Y,"White shark, 4 m to 5m ",4
USA,2012,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,28,Lacerations to left foot,N,"Tiger shark, 10'  ",4
USA,2012,Florida,"Sanibel Island, Lee County",other,M,0,Right shin bitten,N,a small shark,4
AUSTRALIA,2012,Western Australia,Stratham Beach,Scuba diving,M,33,FATAL,Y,"White shark, 4m ",3
USA,2012,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to foot,N,other,3
AUSTRALIA,2012,Queensland,Nobby's Beach,Surfing,M,20,Lacerations to left calf,N,Possibly a bull shark,3
USA,2012,Florida,"Jensen Beach, Martin County ",Surfing,M,61,Left forearm bitten,N,Possibly a 5' to 6' bull shark,3
USA,2012,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,Bitten on ankle,N,4' to 5' shark,3
USA,2012,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Bitten on calf,N,4' to 5' shark,3
NEW ZEALAND,2012,North Island,"Opunake, Taranake",Surfing,M,0,Lacerations to left calf,N,other,3
REUNION,2012,Saint-Benoit,Port de la Marine,Body boarding,M,31,"No injury, board bitten",N,other,3
USA,2012,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19,Lacerations to left calf,N,4' shark,3
AUSTRALIA,2012,New South Wales,Broughton Island,Fishing,M,0,Laceration to left foot,N,Grey nurse shark,2
AUSTRALIA,2012,Queensland,Wurtulla,Surfing,M,29,"No injury, but fin lost from surfboard",N,other,2
USA,2012,Hawaii,Lanai,Snorkeling,UNKNOWN,0,"No injury, shark bit swim fin",N,6' to 8' shark,1
AUSTRALIA,2012,Western Australia,Coral Bay,Snorkeling,M,26,Lacerations to right forearm,N,"Tiger shark, 3m",1
BAHAMAS,2012,other,Cat Island,"Diving, photographing sharks",M,0,"No injury, shark grabbed his camera",N,Tiger shark,1
AUSTRALIA,2012,New South Wales,Redhead Beach,Surfing,M,44,Lacerations to thigh,N,"White shark, 2.7 m",1
SOUTH AFRICA,2012,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,FATAL,Y,Thought to involve a bull shark,1
USA,2012,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,"No injury, surfboard damaged",N,White shark,1
AUSTRALIA,2012,New South Wales,North Avoca Beach,Surfing,M,28,Right forearm and wrist injured,N,2 m shark,1
AUSTRALIA,2012,Queensland,Duranbah,Spearfishing,M,34,"No injury, punctures to swim fin",N,Allegedly a 4 m tiger shark,1
USA,2011,Florida,"Jupiter, Palm Beach County",other,M,0,Hand injured,N,other,12
ECUADOR,2011,Santa Elena,Barandúa Beach,Surfing,M,23,Lacerations to left thigh and calf,N,other,12
USA,2011,Florida,New Smyrna Beach,Surfing,M,27,Laceration to ankle,N,other,12
AUSTRALIA,2011,New South Wales,Angourie,Surfing,M,51,5 puncture wounds to thigh,N,"White shark, 2.5m",12
